date,fgindex
2017-09-01,37.98298935
2017-09-05,44.72015221
2017-09-06,35.92485845
2017-09-07,37.38806088
2017-09-08,42.48515068
2017-09-11,40.40655542
2017-09-12,52.71148858
2017-09-13,44.77910908
2017-09-14,47.69479452
2017-09-15,50.28889701
2017-09-18,62.10171081
2017-09-19,56.62561252
2017-09-20,53.98174125
2017-09-21,59.75415525
2017-09-22,64.94236022
2017-09-25,67.568621
2017-09-26,69.18939909
2017-09-27,72.29589041
2017-09-28,76.11516089
2017-09-29,79.20952192
2017-10-02,69.9419032
2017-10-03,72.90230398
2017-10-04,67.42390868
2017-10-05,65.2918137
2017-10-06,76.8688
2017-10-09,79.93118852
2017-10-10,82.03985388
2017-10-11,84.77974064
2017-10-12,88.03094429
2017-10-13,94.33265145
2017-10-16,87.95698021
2017-10-17,84.60608584
2017-10-18,81.65395434
2017-10-19,79.28495992
2017-10-20,73.62724384
2017-10-23,76.31165753
2017-10-24,78.74362861
2017-10-25,80.73055186
2017-10-26,85.47160339
2017-10-27,82.9563653
2017-10-30,75.33484932
2017-10-31,84.93410046
2017-11-01,82.81165297
2017-11-02,80.68920548
2017-11-03,78.56675799
2017-11-06,71.72508067
2017-11-07,69.17423875
2017-11-08,66.08933942
2017-11-09,65.25322374
2017-11-10,59.16694478
2017-11-13,63.0480835
2017-11-14,66.34660578
2017-11-15,56.1432381
2017-11-16,53.76306484
2017-11-17,42.43002218
2017-11-20,51.0285378
2017-11-21,39.31112694
2017-11-22,36.60018265
2017-11-27,47.69479452
2017-11-28,44.64267995
2017-11-29,47.50184475
2017-11-30,50.47327123
2017-12-01,53.19386301
2017-12-04,56.11442092
2017-12-05,59.92079369
2017-12-06,51.65026484
2017-12-07,71.97748858
2017-12-08,63.21760365
2017-12-11,67.70894811
2017-12-12,65.22565949
2017-12-13,62.85619389
2017-12-14,62.06955251
2017-12-15,65.82135363
2017-12-18,69.1250825
2017-12-19,72.66971324
2017-12-20,68.91926941
2017-12-21,65.66668754
2017-12-22,61.12234454
2017-12-26,63.57180431
2017-12-27,54.2638572
2017-12-28,56.84612655
2017-12-29,53.00091324
2018-01-02,59.03748467
2018-01-03,61.39422831
2018-01-04,65.59088584
2018-01-05,63.13077626
2018-01-08,68.68772968
2018-01-09,72.58531507
2018-01-10,75.13076783
2018-01-11,77.26702689
2018-01-12,73.83948858
2018-01-16,76.58213177
2018-01-17,78.40011955
2018-01-18,74.18921005
2018-01-19,77.53769254
2018-01-22,71.31184658
2018-01-23,65.76775647
2018-01-24,68.28529159
2018-01-25,63.22725114
2018-01-26,60.10313231
2018-01-29,57.63170776
2018-01-30,55.50926027
2018-01-31,53.38681279
2018-02-01,51.2643653
2018-02-02,40.44309893
2018-02-05,46.92299543
2018-02-06,44.80054795
2018-02-07,42.67810046
2018-02-08,35.13698021
2018-02-09,37.5970898
2018-02-12,32.51607915
2018-02-13,29.7987032
2018-02-14,27.4029102
2018-02-15,24.59595042
2018-02-16,19.80887494
2018-02-20,22.41837443
2018-02-21,16.72635616
2018-02-22,14.02505936
2018-02-23,11.80613699
2018-02-26,9.434462709
2018-02-27,7.754191781
2018-02-28,13.13266667
2018-03-01,11.0343379
2018-03-02,16.25684505
2018-03-05,15.0259863
2018-03-06,17.85993607
2018-03-07,8.558149163
2018-03-08,10.10174734
2018-03-09,12.97991476
2018-03-12,16.24398174
2018-03-13,19.82963166
2018-03-14,13.49444749
2018-03-15,24.70408711
2018-03-16,22.15306849
2018-03-19,42.87105023
2018-03-20,39.5965791
2018-03-21,30.79790737
2018-03-22,28.67545988
2018-03-23,33.01131689
2018-03-26,26.90445662
2018-03-27,24.19110046
2018-03-28,20.63117717
2018-03-29,34.57421005
2018-04-02,32.45176256
2018-04-03,30.32931507
2018-04-04,27.24211872
2018-04-05,18.0368067
2018-04-06,15.31782283
2018-04-09,13.14070624
2018-04-10,10.55196347
2018-04-11,7.719110004
2018-04-12,6.181651142
2018-04-13,8.159386301
2018-04-16,10.31077626
2018-04-17,12.48950076
2018-04-18,15.76160731
2018-04-19,19.45820335
2018-04-20,17.30520548
2018-04-23,22.87318461
2018-04-24,24.34787215
2018-04-25,26.27736986
2018-04-26,29.55751598
2018-04-27,32.43798043
2018-04-30,34.405379
2018-05-01,37.88148973
2018-05-02,40.24555512
2018-05-03,35.47756579
2018-05-04,32.25881279
2018-05-07,38.12448584
2018-05-08,35.73190868
2018-05-09,40.8643726
2018-05-10,45.86177169
2018-05-11,48.25220497
2018-05-14,52.40920061
2018-05-15,53.83059726
2018-05-16,51.5152
2018-05-17,57.50998266
2018-05-18,48.67332551
2018-05-21,54.51235312
2018-05-22,46.13741422
2018-05-23,43.19758061
2018-05-24,37.30766514
2018-05-25,39.9382137
2018-05-29,34.13471334
2018-05-30,49.21427397
2018-05-31,43.44989954
2018-06-01,46.3200274
2018-06-04,52.55988519
2018-06-05,55.35248858
2018-06-06,59.76487468
2018-06-07,64.49947032
2018-06-08,57.53523288
2018-06-11,62.92404436
2018-06-12,60.6637756
2018-06-13,55.79868493
2018-06-14,58.14624049
2018-06-15,53.26889904
2018-06-18,50.89224788
2018-06-19,48.33796043
2018-06-20,45.59646575
2018-06-21,42.93536682
2018-06-22,40.1456347
2018-06-25,36.88317565
2018-06-26,34.418366
2018-06-27,32.75190665
2018-06-28,35.15305936
2018-06-29,41.45900872
2018-07-02,46.2545623
2018-07-05,43.3413653
2018-07-06,47.55008219
2018-07-09,45.21860578
2018-07-10,51.03925723
2018-07-11,49.97803349
2018-07-12,54.08143196
2018-07-13,62.93782648
2018-07-16,56.50616743
2018-07-17,58.01760731
2018-07-18,60.76714155
2018-07-19,69.5332005
2018-07-20,65.04419482
2018-07-23,67.27919635
2018-07-24,65.41860926
2018-07-25,68.7789423
2018-07-26,71.19756094
2018-07-27,72.77826484
2018-07-30,61.13696195
2018-07-31,66.65900065
2018-08-01,63.43949589
2018-08-02,58.8269244
2018-08-03,56.84612655
2018-08-06,47.07459883
2018-08-07,49.10975951
2018-08-08,51.40218656
2018-08-09,45.95824658
2018-08-10,54.35156164
2018-08-13,56.6991172
2018-08-14,54.78569863
2018-08-15,59.5740688
2018-08-16,62.55192694
2018-08-17,64.43318721
2018-08-20,69.88401826
2018-08-21,72.44344024
2018-08-22,77.96746534
2018-08-23,70.75229224
2018-08-24,68.59125479
2018-08-27,66.19040835
2018-08-28,62.49930428
2018-08-29,54.41909406
2018-08-30,52.02544495
2018-08-31,56.54904515
2018-09-04,59.08365479
2018-09-05,56.37753425
2018-09-06,63.80610046
2018-09-07,61.68365297
2018-09-10,59.48884932
2018-09-11,66.10220274
2018-09-12,70.98142009
2018-09-13,68.01240548
2018-09-14,72.87473973
2018-09-17,70.61963927
2018-09-18,66.28228919
2018-09-19,68.49477991
2018-09-20,62.06955251
2018-09-21,63.70962557
2018-09-24,59.8795726
2018-09-25,53.19386301
2018-09-26,51.15181126
2018-09-27,56.10189172
2018-09-28,48.30982192
2018-10-01,46.0020988
2018-10-02,43.32126636
2018-10-03,49.62429224
2018-10-04,39.687379
2018-10-05,36.6387726
2018-10-08,31.84075495
2018-10-09,28.88219178
2018-10-10,26.27736986
2018-10-11,24.15492237
2018-10-12,17.64286758
2018-10-15,21.99388493
2018-10-16,19.87143744
2018-10-17,15.08628311
2018-10-18,8.23656621
2018-10-19,5.588866565
2018-10-22,12.55037182
2018-10-23,10.60556063
2018-10-24,12.72586423
2018-10-25,14.70038356
2018-10-26,12.57793607
2018-10-29,10.00527245
2018-10-30,7.361860578
2018-10-31,6.483939117
2018-11-01,6.379424658
2018-11-02,9.127103618
2018-11-05,22.80427397
2018-11-06,17.2638591
2018-11-07,20.23390737
2018-11-08,15.18275799
2018-11-09,28.20561826
2018-11-12,23.80118113
2018-11-13,12.21960078
2018-11-14,14.12153425
2018-11-15,11.80613699
2018-11-16,8.639490733
2018-11-19,7.018570776
2018-11-20,9.806475716
2018-11-21,12.51763927
2018-11-26,14.0732968
2018-11-27,18.99351598
2018-11-28,22.87055708
